date,county,confirmed_hosp,suspected_hosp,total_hosp,population,total_doses,cumulative_fully_vaccinated,pct_fully_vaccinated
2020-04-01,Riverside,85,182,267,2422847,NA,NA,NA
2020-04-01,Sacramento,53,138,191,1586465,NA,NA,NA
2020-04-01,San Benito,2,0,2,64521,NA,NA,NA
2020-04-01,San Bernardino,95,196,291,2183239,NA,NA,NA
2020-04-01,San Diego,168,340,508,3296045,NA,NA,NA
2020-04-01,San Francisco,67,66,133,870393,NA,NA,NA
2020-04-01,San Joaquin,25,35,60,780558,NA,NA,NA
2020-04-01,San Luis Obispo,8,10,18,281879,NA,NA,NA
2020-04-01,San Mateo,57,35,92,762511,NA,NA,NA
2020-04-01,Santa Barbara,23,23,46,448244,NA,NA,NA
2020-04-01,Santa Clara,160,85,245,1931026,NA,NA,NA
2020-04-01,Santa Cruz,2,12,14,270462,NA,NA,NA
2020-04-01,Shasta,1,4,5,181984,NA,NA,NA
2020-04-01,Siskiyou,0,5,5,43991,NA,NA,NA
2020-04-01,Solano,14,18,32,452698,NA,NA,NA
2020-04-01,Sonoma,5,18,23,488281,NA,NA,NA
2020-04-01,Stanislaus,25,39,64,553217,NA,NA,NA
2020-04-01,Sutter,0,0,0,99464,NA,NA,NA
2020-04-01,Tehama,0,1,1,65682,NA,NA,NA
2020-04-01,Trinity,0,0,0,16089,NA,NA,NA
2020-04-01,Tulare,4,12,16,473891,NA,NA,NA
2020-04-01,Tuolumne,0,0,0,55374,NA,NA,NA
2020-04-01,Ventura,22,96,118,843310,NA,NA,NA
2020-04-01,Yolo,3,3,6,216291,NA,NA,NA
2020-04-01,Yuba,2,24,26,81994,NA,NA,NA
2020-04-02,Alameda,57,76,133,1680380,NA,NA,NA
2020-04-02,Amador,0,3,3,40532,NA,NA,NA
2020-04-02,Butte,4,26,30,210135,NA,NA,NA
2020-04-02,Calaveras,0,1,1,45346,NA,NA,NA
2020-04-02,Colusa,0,1,1,21858,NA,NA,NA
2020-04-02,Contra Costa,32,38,70,1165986,NA,NA,NA
2020-04-02,Del Norte,0,3,3,27601,NA,NA,NA
2020-04-02,El Dorado,15,12,27,191220,NA,NA,NA
2020-04-02,Fresno,17,74,91,1009503,NA,NA,NA
2020-04-02,Glenn,0,0,0,28896,NA,NA,NA
2020-04-02,Humboldt,1,8,9,136261,NA,NA,NA
2020-04-02,Imperial,4,16,20,179595,NA,NA,NA
2020-04-02,Inyo,8,102,110,19001,NA,NA,NA
2020-04-02,Kern,27,77,104,905828,NA,NA,NA
2020-04-02,Kings,2,6,8,152790,NA,NA,NA
2020-04-02,Lake,0,1,1,68195,NA,NA,NA
2020-04-02,Lassen,0,7,7,32317,NA,NA,NA
2020-04-02,Los Angeles,818,1270,2088,9992236,NA,NA,NA
2020-04-02,Madera,1,7,8,156343,NA,NA,NA
2020-04-02,Marin,7,16,23,261282,NA,NA,NA
2020-04-02,Mariposa,0,1,1,17118,NA,NA,NA
2020-04-02,Mendocino,0,1,1,91361,NA,NA,NA
2020-04-02,Merced,4,5,9,281814,NA,NA,NA
2020-04-02,Modoc,0,1,1,8663,NA,NA,NA
2020-04-02,Mono,18,2,20,13226,NA,NA,NA
2020-04-02,Monterey,14,14,28,438390,NA,NA,NA
2020-04-02,Napa,1,4,5,137485,NA,NA,NA
2020-04-02,Nevada,38,58,96,102249,NA,NA,NA
2020-04-02,Orange,129,225,354,3185516,NA,NA,NA
2020-04-02,Placer,32,15,47,405889,NA,NA,NA
2020-04-02,Plumas,0,0,0,19749,NA,NA,NA
2020-04-02,Riverside,136,181,317,2422847,NA,NA,NA
2020-04-02,Sacramento,71,92,163,1586465,NA,NA,NA
2020-04-02,San Benito,2,0,2,64521,NA,NA,NA
2020-04-02,San Bernardino,126,185,311,2183239,NA,NA,NA
2020-04-02,San Diego,144,343,487,3296045,NA,NA,NA
2020-04-02,San Francisco,75,60,135,870393,NA,NA,NA
2020-04-02,San Joaquin,42,42,84,780558,NA,NA,NA
2020-04-02,San Luis Obispo,5,5,10,281879,NA,NA,NA
2020-04-02,San Mateo,62,40,102,762511,NA,NA,NA
2020-04-02,Santa Barbara,26,44,70,448244,NA,NA,NA
2020-04-02,Santa Clara,163,101,264,1931026,NA,NA,NA
2020-04-02,Santa Cruz,4,4,8,270462,NA,NA,NA
2020-04-02,Shasta,2,4,6,181984,NA,NA,NA
2020-04-02,Siskiyou,0,3,3,43991,NA,NA,NA
2020-04-02,Solano,15,8,23,452698,NA,NA,NA
2020-04-02,Sonoma,8,18,26,488281,NA,NA,NA
2020-04-02,Stanislaus,30,43,73,553217,NA,NA,NA
2020-04-02,Sutter,0,0,0,99464,NA,NA,NA
2020-04-02,Tehama,0,1,1,65682,NA,NA,NA
2020-04-02,Trinity,0,0,0,16089,NA,NA,NA
2020-04-02,Tulare,4,26,30,473891,NA,NA,NA
2020-04-02,Tuolumne,0,0,0,55374,NA,NA,NA
2020-04-02,Ventura,27,111,138,843310,NA,NA,NA
2020-04-02,Yolo,3,2,5,216291,NA,NA,NA
2020-04-02,Yuba,2,25,27,81994,NA,NA,NA
2020-04-03,Alameda,64,74,138,1680380,NA,NA,NA
2020-04-03,Amador,0,0,0,40532,NA,NA,NA
2020-04-03,Butte,3,19,22,210135,NA,NA,NA
2020-04-03,Calaveras,0,1,1,45346,NA,NA,NA
2020-04-03,Colusa,1,0,1,21858,NA,NA,NA
2020-04-03,Contra Costa,31,39,70,1165986,NA,NA,NA
2020-04-03,Del Norte,0,2,2,27601,NA,NA,NA
2020-04-03,El Dorado,15,9,24,191220,NA,NA,NA
2020-04-03,Fresno,15,81,96,1009503,NA,NA,NA
2020-04-03,Glenn,0,0,0,28896,NA,NA,NA
2020-04-03,Humboldt,1,7,8,136261,NA,NA,NA
2020-04-03,Imperial,9,7,16,179595,NA,NA,NA
2020-04-03,Inyo,8,102,110,19001,NA,NA,NA
2020-04-03,Kern,35,73,108,905828,NA,NA,NA
2020-04-03,Kings,0,3,3,152790,NA,NA,NA
2020-04-03,Lake,0,2,2,68195,NA,NA,NA
2020-04-03,Lassen,0,3,3,32317,NA,NA,NA
2020-04-03,Los Angeles,962,1239,2201,9992236,NA,NA,NA
2020-04-03,Madera,0,5,5,156343,NA,NA,NA
2020-04-03,Marin,6,16,22,261282,NA,NA,NA
2020-04-03,Mariposa,0,2,2,17118,NA,NA,NA
2020-04-03,Mendocino,0,5,5,91361,NA,NA,NA
2020-04-03,Merced,4,5,9,281814,NA,NA,NA
2020-04-03,Modoc,0,0,0,8663,NA,NA,NA
2020-04-03,Mono,18,2,20,13226,NA,NA,NA
2020-04-03,Monterey,16,18,34,438390,NA,NA,NA
2020-04-03,Napa,1,9,10,137485,NA,NA,NA
2020-04-03,Nevada,2,4,6,102249,NA,NA,NA
2020-04-03,Orange,131,182,313,3185516,NA,NA,NA
2020-04-03,Placer,21,23,44,405889,NA,NA,NA
2020-04-03,Plumas,0,0,0,19749,NA,NA,NA
2020-04-03,Riverside,105,182,287,2422847,NA,NA,NA
2020-04-03,Sacramento,77,76,153,1586465,NA,NA,NA
2020-04-03,San Benito,2,0,2,64521,NA,NA,NA
2020-04-03,San Bernardino,118,204,322,2183239,NA,NA,NA
2020-04-03,San Diego,171,308,479,3296045,NA,NA,NA
2020-04-03,San Francisco,80,71,151,870393,NA,NA,NA
2020-04-03,San Joaquin,41,38,79,780558,NA,NA,NA
2020-04-03,San Luis Obispo,4,5,9,281879,NA,NA,NA
2020-04-03,San Mateo,65,39,104,762511,NA,NA,NA
2020-04-03,Santa Barbara,27,29,56,448244,NA,NA,NA
2020-04-03,Santa Clara,164,83,247,1931026,NA,NA,NA
2020-04-03,Santa Cruz,4,8,12,270462,NA,NA,NA
2020-04-03,Shasta,2,9,11,181984,NA,NA,NA
2020-04-03,Siskiyou,0,3,3,43991,NA,NA,NA
2020-04-03,Solano,16,21,37,452698,NA,NA,NA
2020-04-03,Sonoma,6,24,30,488281,NA,NA,NA
2020-04-03,Stanislaus,28,45,73,553217,NA,NA,NA
2020-04-03,Sutter,0,0,0,99464,NA,NA,NA
2020-04-03,Tehama,0,0,0,65682,NA,NA,NA
2020-04-03,Trinity,0,0,0,16089,NA,NA,NA
2020-04-03,Tulare,6,15,21,473891,NA,NA,NA
2020-04-03,Tuolumne,0,0,0,55374,NA,NA,NA
2020-04-03,Ventura,22,116,138,843310,NA,NA,NA
2020-04-03,Yolo,2,7,9,216291,NA,NA,NA
2020-04-03,Yuba,2,12,14,81994,NA,NA,NA
2020-04-04,Alameda,60,95,155,1680380,NA,NA,NA
2020-04-04,Amador,0,0,0,40532,NA,NA,NA
2020-04-04,Butte,3,14,17,210135,NA,NA,NA
2020-04-04,Calaveras,0,1,1,45346,NA,NA,NA
2020-04-04,Colusa,1,0,1,21858,NA,NA,NA
2020-04-04,Contra Costa,30,47,77,1165986,NA,NA,NA
2020-04-04,Del Norte,0,2,2,27601,NA,NA,NA
2020-04-04,El Dorado,15,9,24,191220,NA,NA,NA
2020-04-04,Fresno,14,93,107,1009503,NA,NA,NA
2020-04-04,Glenn,0,0,0,28896,NA,NA,NA
2020-04-04,Humboldt,1,4,5,136261,NA,NA,NA
2020-04-04,Imperial,9,10,19,179595,NA,NA,NA
2020-04-04,Inyo,8,106,114,19001,NA,NA,NA
2020-04-04,Kern,33,54,87,905828,NA,NA,NA
2020-04-04,Kings,1,9,10,152790,NA,NA,NA
2020-04-04,Lake,0,4,4,68195,NA,NA,NA
2020-04-04,Lassen,0,0,0,32317,NA,NA,NA
2020-04-04,Los Angeles,1007,1190,2197,9992236,NA,NA,NA
2020-04-04,Madera,0,4,4,156343,NA,NA,NA
2020-04-04,Marin,5,16,21,261282,NA,NA,NA
2020-04-04,Mariposa,0,2,2,17118,NA,NA,NA
2020-04-04,Mendocino,0,3,3,91361,NA,NA,NA
2020-04-04,Merced,5,14,19,281814,NA,NA,NA
2020-04-04,Modoc,0,0,0,8663,NA,NA,NA
2020-04-04,Mono,20,2,22,13226,NA,NA,NA
2020-04-04,Monterey,16,25,41,438390,NA,NA,NA
2020-04-04,Napa,1,8,9,137485,NA,NA,NA
2020-04-04,Nevada,2,6,8,102249,NA,NA,NA
2020-04-04,Orange,143,213,356,3185516,NA,NA,NA
2020-04-04,Placer,23,14,37,405889,NA,NA,NA
2020-04-04,Plumas,0,0,0,19749,NA,NA,NA
2020-04-04,Riverside,126,186,312,2422847,NA,NA,NA
2020-04-04,Sacramento,69,76,145,1586465,NA,NA,NA
2020-04-04,San Benito,2,3,5,64521,NA,NA,NA
2020-04-04,San Bernardino,138,254,392,2183239,NA,NA,NA
2020-04-04,San Diego,177,218,395,3296045,NA,NA,NA
2020-04-04,San Francisco,80,65,145,870393,NA,NA,NA
2020-04-04,San Joaquin,43,30,73,780558,NA,NA,NA
2020-04-04,San Luis Obispo,4,6,10,281879,NA,NA,NA
2020-04-04,San Mateo,66,19,85,762511,NA,NA,NA
2020-04-04,Santa Barbara,28,34,62,448244,NA,NA,NA
2020-04-04,Santa Clara,159,79,238,1931026,NA,NA,NA
2020-04-04,Santa Cruz,4,6,10,270462,NA,NA,NA
2020-04-04,Shasta,2,10,12,181984,NA,NA,NA
2020-04-04,Siskiyou,0,2,2,43991,NA,NA,NA
2020-04-04,Solano,16,19,35,452698,NA,NA,NA
2020-04-04,Sonoma,7,16,23,488281,NA,NA,NA
2020-04-04,Stanislaus,30,45,75,553217,NA,NA,NA
2020-04-04,Sutter,0,0,0,99464,NA,NA,NA
2020-04-04,Tehama,0,1,1,65682,NA,NA,NA
